cod_municipio;numero_estabelecimentos;area_estabelecimentos_ha;ano_referencia
2109056;284.0;380.0;2017
2109106;969.0;58025.0;2017
2109205;780.0;607.0;2017
2109239;222.0;17744.0;2017
2109270;1420.0;24758.0;2017
2109304;771.0;2474.0;2017
2109403;452.0;1125.0;2017
2109452;250.0;177.0;2017
2109502;1515.0;326666.0;2017
2109551;423.0;58633.0;2017
2109601;490.0;1049.0;2017
2109700;492.0;122134.0;2017
2109759;334.0;32123.0;2017
2109809;1285.0;21826.0;2017
2109908;282.0;44569.0;2017
2110005;1961.0;261922.0;2017
2110039;833.0;63598.0;2017
2110104;1370.0;53214.0;2017
2110203;1608.0;15415.0;2017
2110237;824.0;871.0;2017
2110278;725.0;8097.0;2017
2110302;1521.0;50706.0;2017
2110401;1353.0;15273.0;2017
2110500;1207.0;4776.0;2017
2110609;1684.0;17573.0;2017
2110658;239.0;97185.0;2017
2110708;1219.0;52927.0;2017
2110807;619.0;75778.0;2017
2110856;508.0;68638.0;2017
2110906;694.0;42543.0;2017
2111003;2365.0;3742.0;2017
2111029;359.0;19086.0;2017
2111052;1058.0;140111.0;2017
2111078;930.0;18538.0;2017
2111102;543.0;31103.0;2017
2111201;959.0;1196.0;2017
2111250;738.0;19671.0;2017
2111300;817.0;2016.0;2017
2111409;1622.0;56549.0;2017
2111508;568.0;36846.0;2017
2111532;236.0;61236.0;2017
2111573;519.0;55166.0;2017
2111607;589.0;120497.0;2017
2111631;742.0;35565.0;2017
2111672;417.0;15129.0;2017
2111706;2009.0;3748.0;2017
2111722;431.0;19697.0;2017
2111748;229.0;16013.0;2017
2111763;509.0;55691.0;2017
2111789;498.0;1822.0;2017
2111805;2036.0;181824.0;2017
2111904;710.0;42436.0;2017
2111953;195.0;17163.0;2017
2112001;378.0;239702.0;2017
2112100;1381.0;37896.0;2017
2112209;2544.0;59147.0;2017
2112233;377.0;12967.0;2017
2112274;129.0;13614.0;2017
2112308;1552.0;194449.0;2017
2112407;1895.0;9398.0;2017
2112456;697.0;23270.0;2017
2112506;2396.0;8415.0;2017
2112605;2944.0;46910.0;2017
2112704;1813.0;21602.0;2017
2112803;2692.0;32805.0;2017
2112852;698.0;98431.0;2017
2112902;1132.0;28246.0;2017
2113009;933.0;74235.0;2017
2114007;877.0;71809.0;2017
2200053;1734.0;76968.0;2017
2200103;446.0;6250.0;2017
2200202;448.0;2435.0;2017
2200251;1908.0;28047.0;2017
2200277;549.0;12588.0;2017
2200301;1936.0;97706.0;2017
2200400;1668.0;37698.0;2017
2200459;376.0;46256.0;2017
2200509;1835.0;27423.0;2017
2200608;457.0;8862.0;2017
2200707;1306.0;14049.0;2017
2200806;161.0;35907.0;2017
2200905;564.0;31544.0;2017
2200954;594.0;9922.0;2017
2201002;680.0;10772.0;2017
2201051;1254.0;97934.0;2017
2201101;1256.0;53932.0;2017
2201150;913.0;465577.0;2017
2201176;704.0;9797.0;2017
2201200;3967.0;47248.0;2017
2201309;245.0;14947.0;2017
2201408;413.0;8118.0;2017
2201507;3367.0;63676.0;2017
2201556;837.0;26205.0;2017
2201572;455.0;14252.0;2017
2201606;1002.0;39334.0;2017
2201705;413.0;31284.0;2017
2201739;1153.0;32308.0;2017
2201770;657.0;10619.0;2017
2201804;771.0;8498.0;2017
2201903;1023.0;238614.0;2017
2201919;527.0;14714.0;2017
2201929;1417.0;14335.0;2017
2201945;557.0;9755.0;2017
2201960;753.0;19783.0;2017
2201988;799.0;28105.0;2017
2202000;1198.0;21400.0;2017
2202026;1183.0;120581.0;2017
2202059;1360.0;12985.0;2017
2202075;539.0;20146.0;2017
2202083;489.0;3562.0;2017
2202091;1085.0;27530.0;2017
2202109;1555.0;43294.0;2017
2202117;1004.0;19389.0;2017
2202133;1183.0;20831.0;2017
2202174;1162.0;9565.0;2017
2202208;2232.0;106692.0;2017
2202251;484.0;55646.0;2017
2202307;2160.0;50858.0;2017
2202406;902.0;22897.0;2017
2202455;843.0;41695.0;2017
2202505;1443.0;32676.0;2017
2202539;948.0;21056.0;2017
2202554;837.0;28238.0;2017
2202604;1718.0;56874.0;2017
2202653;466.0;9473.0;2017
2202703;3861.0;40760.0;2017
2202711;504.0;10943.0;2017
2202729;1449.0;6460.0;2017
2202737;573.0;20905.0;2017
2202752;302.0;15271.0;2017
2202778;1100.0;40905.0;2017
2202802;700.0;21929.0;2017
2202851;732.0;50596.0;2017
2202901;1469.0;174809.0;2017
2203008;789.0;50887.0;2017
2203107;495.0;63818.0;2017
2203206;1183.0;80960.0;2017
2203230;759.0;201243.0;2017
2203255;463.0;11374.0;2017
2203271;741.0;33892.0;2017
2203305;633.0;15323.0;2017
2203354;1561.0;49254.0;2017
2203404;412.0;4605.0;2017
2203420;688.0;15969.0;2017
2203453;1876.0;171195.0;2017
2203503;1372.0;94578.0;2017
2203602;493.0;34119.0;2017
2203701;2295.0;38288.0;2017
2203750;1149.0;36772.0;2017
2203800;579.0;26199.0;2017
2203859;421.0;6637.0;2017
2203909;1382.0;98671.0;2017
2204006;659.0;8697.0;2017
2204105;615.0;12537.0;2017
2204154;444.0;8645.0;2017
2204204;1295.0;18542.0;2017
2204303;969.0;40165.0;2017
2204352;919.0;14450.0;2017
2204402;761.0;118910.0;2017
2204501;250.0;27541.0;2017
2204550;850.0;13551.0;2017
2204600;375.0;6091.0;2017
2204659;218.0;5255.0;2017
2204709;2269.0;37764.0;2017
2204808;1211.0;13818.0;2017
2204907;1717.0;41782.0;2017
2205003;2166.0;24268.0;2017
2205102;1476.0;78112.0;2017
2205151;1406.0;89008.0;2017
2205201;2637.0;35536.0;2017
2205250;548.0;13556.0;2017
2205276;885.0;32455.0;2017
2205300;191.0;68938.0;2017
2205359;640.0;21209.0;2017
2205409;1464.0;30557.0;2017
2205458;789.0;8470.0;2017
2205508;3426.0;113419.0;2017
2205516;882.0;25084.0;2017
2205524;889.0;45697.0;2017
2205532;1130.0;20202.0;2017
2205540;206.0;2444.0;2017
2205557;798.0;11829.0;2017
2205565;1004.0;61236.0;2017
2205573;940.0;7137.0;2017
2205581;566.0;14916.0;2017
2205599;1097.0;31804.0;2017
2205607;853.0;60276.0;2017
2205706;3197.0;26902.0;2017
2205805;2396.0;25570.0;2017
2205854;892.0;6017.0;2017
2205904;494.0;24009.0;2017
2205953;434.0;6969.0;2017
2206001;421.0;30117.0;2017
2206050;1310.0;28829.0;2017
2206100;765.0;6711.0;2017
2206209;3972.0;43550.0;2017
2206308;134.0;3235.0;2017
2206357;1327.0;30147.0;2017
2206407;925.0;16179.0;2017
2206506;1628.0;22844.0;2017
2206605;1608.0;145588.0;2017
2206654;576.0;38552.0;2017
2206670;646.0;17423.0;2017
2206696;1622.0;6216.0;2017
2206704;531.0;23587.0;2017
2206720;870.0;10547.0;2017
2206753;692.0;22747.0;2017
2206803;1399.0;10822.0;2017
2206902;887.0;28144.0;2017
2206951;555.0;23473.0;2017
2207009;3588.0;93896.0;2017
2207108;468.0;7204.0;2017
2207207;829.0;14845.0;2017
2207306;807.0;17549.0;2017
2207355;590.0;31517.0;2017
2207405;765.0;73527.0;2017
2207504;2044.0;27704.0;2017
2207553;597.0;12004.0;2017
2207603;1040.0;231127.0;2017
2207702;1269.0;8279.0;2017
2207751;525.0;32930.0;2017
2207777;1273.0;30621.0;2017
2207793;661.0;18262.0;2017
2207801;2476.0;100903.0;2017
2207850;647.0;15173.0;2017
2207900;3644.0;41412.0;2017
2207934;597.0;30495.0;2017
2207959;899.0;26357.0;2017
2208007;3014.0;20364.0;2017
2208106;1894.0;162582.0;2017
2208205;3584.0;175760.0;2017
2208304;2030.0;108157.0;2017
2208403;3460.0;57332.0;2017
2208502;804.0;4950.0;2017
2208551;217.0;20454.0;2017
2208601;200.0;7041.0;2017
2208650;1877.0;71847.0;2017
2208700;624.0;58430.0;2017
2208809;929.0;42011.0;2017
2208858;429.0;67195.0;2017
